country,year,fertility,gdp_capita,life_expectancy,population
Singapore,1963,4.97,5220,67.5,1790000
Slovak Republic,1963,2.86,8590,70.7,4300000
Slovenia,1963,2.32,8220,68.1,1610000
Solomon Islands,1963,6.39,1180,51.0,129000
Somalia,1963,7.26,1290,45.4,2940000
South Africa,1963,6.03,7950,54.7,18400000
South Korea,1963,5.53,1810,56.0,27500000
South Sudan,1963,6.76,2380,44.0,3010000
Spain,1963,2.82,7890,69.5,31400000
Sri Lanka,1963,5.18,1880,59.8,10600000
St. Lucia,1963,6.82,2920,60.8,93200
St. Vincent and the Grenadines,1963,6.98,2830,61.1,84200
Sudan,1963,6.76,2290,49.8,8250000
Suriname,1963,6.5,6400,60.8,312000
Sweden,1963,2.33,16800,73.5,7630000
Switzerland,1963,2.58,31900,71.5,5600000
Syria,1963,7.54,2720,58.3,5030000
Tajikistan,1963,6.84,3760,55.6,2320000
Tanzania,1963,6.8,1340,49.4,11000000
Thailand,1963,6.16,1690,59.3,30000000
Timor-Leste,1963,6.37,820,40.2,501000
Togo,1963,6.68,1380,46.9,1630000
Tonga,1963,7.23,1590,65.0,69000
Trinidad and Tobago,1963,4.87,7950,65.2,892000
Tunisia,1963,7.01,2600,49.7,4380000
Turkey,1963,6.17,4220,50.6,29500000
Turkmenistan,1963,6.79,6710,55.3,1770000
Uganda,1963,7.06,1150,45.7,7460000
Ukraine,1963,2.13,6570,70.1,44300000
United Arab Emirates,1963,6.88,2860,57.2,125000
United Kingdom,1963,2.8,14400,70.8,53500000
United States,1963,3.35,19500,70.1,195000000
Uruguay,1963,2.87,7300,68.5,2640000
Uzbekistan,1963,6.49,3220,61.5,9430000
Vanuatu,1963,6.94,1530,52.6,69900
Venezuela,1963,6.58,14900,62.5,9050000
Vietnam,1963,6.45,1300,56.1,35700000
Yemen,1963,7.62,1550,35.8,5560000
Zambia,1963,7.25,2700,50.5,3360000
Zimbabwe,1963,7.31,1520,54.4,4180000
Afghanistan,1964,7.45,2650,42.3,9740000
Albania,1964,5.96,2880,65.4,1840000
Algeria,1964,7.67,6460,54.9,12200000
Angola,1964,7.61,4700,42.9,5730000
Antigua and Barbuda,1964,4.25,5060,65.1,57600
Argentina,1964,3.07,10400,64.6,21800000
Armenia,1964,4.16,3380,63.3,2150000
Australia,1964,3.16,17700,70.9,11100000
Austria,1964,2.8,13200,70.4,7260000
Azerbaijan,1964,5.89,6160,60.2,4460000
Bahamas,1964,4.22,21400,63.7,134000
Bahrain,1964,7.19,25300,58.9,183000
Bangladesh,1964,6.85,1220,45.9,53700000
Barbados,1964,4.09,5330,66.7,235000
Belarus,1964,2.49,4440,72.6,8430000
Belgium,1964,2.6,13800,70.8,9390000
Belize,1964,6.42,2650,63.3,103000
Benin,1964,6.5,1220,43.1,2590000
Bhutan,1964,6.67,1010,44.0,247000
Bolivia,1964,6.61,2960,47.6,3960000
Bosnia and Herzegovina,1964,3.52,2540,64.3,3480000
Botswana,1964,6.68,963,52.9,548000
Brazil,1964,5.95,4720,58.0,81100000
Brunei,1964,6.23,81500,60.6,97800
Bulgaria,1964,2.18,6320,71.1,8160000
Burkina Faso,1964,6.41,694,41.1,5100000
Burundi,1964,7.14,626,43.9,3030000
Cambodia,1964,6.91,660,45.0,6330000
Cameroon,1964,5.89,1970,47.6,5640000
Canada,1964,3.38,16900,71.7,19300000
Cape Verde,1964,6.99,1740,56.1,223000
Central African Republic,1964,5.93,1470,42.8,1610000
Chad,1964,6.32,1180,46.2,3250000
Chile,1964,4.84,6390,59.7,8820000
China,1964,6.12,715,53.2,708000000
Colombia,1964,6.67,4250,63.3,18200000
Comoros,1964,6.98,1320,47.7,204000
"Congo, Dem. Rep.",1964,6.07,2060,47.8,16900000
"Congo, Rep.",1964,6.05,2370,46.7,1130000
Costa Rica,1964,6.04,4610,65.7,1540000
Cote d'Ivoire,1964,7.65,4070,45.5,4070000
Croatia,1964,2.21,9020,66.2,4300000
Cuba,1964,4.64,4600,68.2,7790000
Cyprus,1964,3.25,4940,69.7,579000
Czech Republic,1964,2.1,10200,70.4,9780000
Denmark,1964,2.6,19000,72.3,4720000
Djibouti,1964,6.6,3740,54.0,108000
Dominican Republic,1964,7.19,3430,61.2,3760000
Ecuador,1964,6.61,4470,60.6,5090000
Egypt,1964,6.62,3060,48.9,29600000
El Salvador,1964,6.61,4520,56.9,3110000
Equatorial Guinea,1964,5.71,1890,42.0,271000
Eritrea,1964,6.78,1030,40.3,1120000
Estonia,1964,1.95,7590,70.4,1280000
Eswatini,1964,6.78,1780,48.3,365000
Ethiopia,1964,6.87,689,40.2,24400000
Fiji,1964,5.68,3210,63.8,451000
Finland,1964,2.58,11900,69.2,4550000
France,1964,2.8,14500,71.5,48200000
Gabon,1964,5.04,9540,46.5,525000
Gambia,1964,5.78,1470,46.6,396000
Georgia,1964,2.91,4810,62.8,4300000
Germany,1964,2.5,17800,70.8,75700000
Ghana,1964,6.89,2270,53.1,7520000
Greece,1964,2.37,8040,72.3,8420000
Grenada,1964,5.91,2050,63.7,94100
Guatemala,1964,6.77,3670,45.7,4730000
Guinea,1964,6.15,976,43.2,3740000
Guinea-Bissau,1964,5.96,1220,39.2,642000
Guyana,1964,6.05,2910,61.0,638000
Haiti,1964,6.23,2210,43.4,4180000
Honduras,1964,7.44,2580,54.4,2280000
Hungary,1964,1.83,10800,69.3,10100000
Iceland,1964,3.74,12600,73.5,189000
India,1964,5.86,1110,44.9,489000000
Indonesia,1964,5.62,1750,49.4,97600000
Iran,1964,6.87,18700,51.2,24300000
Iraq,1964,6.87,20800,54.6,8120000
Ireland,1964,3.99,9960,70.7,2810000
Israel,1964,3.82,8880,69.7,2410000
Italy,1964,2.52,13900,70.4,51300000
Jamaica,1964,5.78,5640,67.3,1730000
Japan,1964,2.01,8960,70.8,97400000
Jordan,1964,8.03,5970,56.9,1100000
Kazakhstan,1964,4.19,9580,61.9,11500000
Kenya,1964,8.1,1720,54.2,9220000
Kiribati,1964,6.63,3220,52.1,45400
Kuwait,1964,7.38,33800,65.6,424000
Kyrgyz Republic,1964,5.48,3610,57.5,2490000
Lao,1964,5.97,933,40.3,2330000
Latvia,1964,1.85,7400,71.7,2240000
Lebanon,1964,5.58,12200,65.9,2040000
Lesotho,1964,5.81,659,54.3,904000
Liberia,1964,6.5,1170,42.5,1220000
Libya,1964,7.52,15100,56.4,1670000
Lithuania,1964,2.38,9430,72.0,2930000
Luxembourg,1964,2.37,18000,69.7,327000
Madagascar,1964,7.31,2260,47.0,5630000
Malawi,1964,7.06,519,41.2,4030000
Malaysia,1964,6.1,3260,61.5,9250000
Maldives,1964,7.18,2280,36.1,100000
Mali,1964,7.03,768,35.3,5500000
Malta,1964,2.8,2430,68.6,321000
Mauritania,1964,6.8,1920,50.3,957000
Mauritius,1964,5.79,3560,60.3,736000
Mexico,1964,6.75,6770,59.7,42800000
"Micronesia, Fed. Sts.",1964,6.89,1540,57.7,50500
Moldova,1964,2.99,4280,61.9,3280000
Mongolia,1964,7.56,2750,50.0,1070000
Montenegro,1964,3.25,9300,68.3,529000
Morocco,1964,7.07,2240,52.2,13900000
Mozambique,1964,6.88,418,43.8,7860000
Myanmar,1964,6.13,701,41.5,23700000
Namibia,1964,6.22,6760,54.5,699000
Nepal,1964,5.97,971,46.4,10800000
Netherlands,1964,3.17,17100,73.9,12100000
New Zealand,1964,3.22,17300,71.3,2580000
Nicaragua,1964,7.05,5850,52.6,2010000
Niger,1964,7.52,1380,42.1,3800000
Nigeria,1964,6.34,2420,52.4,49100000
North Korea,1964,4.02,916,59.9,12300000
North Macedonia,1964,3.6,5970,65.3,1570000
Norway,1964,2.96,24300,73.4,3700000
Oman,1964,7.26,5970,45.0,609000
Pakistan,1964,6.6,1480,52.2,49600000
Palestine,1964,8.04,1430,57.3,1180000
Panama,1964,5.71,4190,66.0,1280000
Papua New Guinea,1964,6.27,1370,46.6,2430000
Paraguay,1964,6.41,2880,68.2,2120000
Peru,1964,6.92,5870,45.0,11400000
Philippines,1964,6.87,2990,61.7,30000000
Poland,1964,2.57,7080,69.0,31100000
Portugal,1964,3.19,6500,65.3,8890000
Qatar,1964,6.99,43700,60.5,67600
Romania,1964,2.33,4110,67.9,19200000
Russia,1964,2.16,11000,69.8,125000000
Rwanda,1964,8.2,581,45.6,3160000
Samoa,1964,7.57,3500,62.3,123000
Sao Tome and Principe,1964,6.33,1860,54.9,64300
Saudi Arabia,1964,7.26,24000,57.6,4680000
Senegal,1964,7.15,2210,46.8,3580000
Serbia,1964,2.48,8150,65.6,7780000
Seychelles,1964,5.76,5730,64.1,45700
Sierra Leone,1964,6.3,1190,40.2,2470000
Singapore,1964,4.66,4930,67.8,1830000
Slovak Republic,1964,2.78,8930,71.1,4340000
Slovenia,1964,2.31,8960,68.2,1620000
Solomon Islands,1964,6.39,1200,51.5,133000
Somalia,1964,7.26,1130,45.9,3000000
South Africa,1964,5.97,8280,55.1,18900000
South Korea,1964,5.33,1910,56.8,28200000
South Sudan,1964,6.79,2310,44.7,3070000
Spain,1964,2.83,8270,70.2,31800000
Sri Lanka,1964,5.07,1920,60.2,10800000
St. Lucia,1964,6.76,3020,61.4,94600
St. Vincent and the Grenadines,1964,6.88,2900,62.0,85100
Sudan,1964,6.79,2210,50.2,8500000
Suriname,1964,6.41,6530,61.2,320000
Sweden,1964,2.48,17900,73.7,7690000
Switzerland,1964,2.56,32900,72.4,5710000
Syria,1964,7.56,2690,59.0,5200000
Tajikistan,1964,6.91,4180,56.0,2400000
Tanzania,1964,6.8,1370,49.7,11300000
Thailand,1964,6.15,1750,59.8,30900000
Timor-Leste,1964,6.35,855,40.9,510000
Togo,1964,6.73,1530,47.6,1660000
Tonga,1964,7.12,1610,65.4,71700
Trinidad and Tobago,1964,4.66,8060,65.5,903000
Tunisia,1964,7.02,2660,50.7,4460000
Turkey,1964,6.09,4330,51.4,30200000
Turkmenistan,1964,6.79,7480,55.7,1830000
Uganda,1964,7.08,1190,46.2,7720000
Ukraine,1964,2.07,7330,70.8,44800000
United Arab Emirates,1964,6.86,4870,58.3,138000
United Kingdom,1964,2.79,15000,71.6,53900000
United States,1964,3.22,20300,70.4,197000000
Uruguay,1964,2.86,7340,68.6,2670000
Uzbekistan,1964,6.52,3590,62.0,9760000
Vanuatu,1964,6.84,1550,53.4,72100
Venezuela,1964,6.5,15800,63.1,9370000
Vietnam,1964,6.46,1320,56.5,36800000
Yemen,1964,7.67,1560,36.7,5640000
Zambia,1964,7.27,2980,51.0,3460000
Zimbabwe,1964,7.35,1620,54.8,4320000
Afghanistan,1965,7.45,2640,43.0,9960000
Albania,1965,5.77,2980,65.8,1900000
Algeria,1965,7.68,6850,55.4,12600000
Angola,1965,7.62,4970,43.5,5770000
Antigua and Barbuda,1965,4.19,5230,65.5,58700
Argentina,1965,3.06,11200,64.7,22200000
Armenia,1965,3.98,3520,63.7,2210000
Australia,1965,3.0,18200,71.2,11300000
Austria,1965,2.7,13600,70.2,7310000
Azerbaijan,1965,5.79,6450,60.6,4590000
Bahamas,1965,4.06,22700,64.0,140000
Bahrain,1965,7.17,26400,60.1,187000
Bangladesh,1965,6.88,1260,46.2,55400000
Barbados,1965,3.96,5480,67.2,235000
Belarus,1965,2.43,4660,72.2,8510000
Belgium,1965,2.56,14200,70.6,9440000
Belize,1965,6.4,2720,63.9,106000
Benin,1965,6.54,1250,43.7,2630000
Bhutan,1965,6.67,1030,44.6,254000
Bolivia,1965,6.59,3040,47.9,4040000
Bosnia and Herzegovina,1965,3.42,2580,64.9,3540000
Botswana,1965,6.69,978,53.3,560000
Brazil,1965,5.82,4700,58.5,83400000
Brunei,1965,6.07,83300,61.0,102000
Bulgaria,1965,2.17,6640,71.3,8220000
Burkina Faso,1965,6.45,714,41.7,5170000
Burundi,1965,7.18,634,44.3,3090000
Cambodia,1965,6.87,673,45.2,6470000
Cameroon,1965,5.95,1980,48.2,5770000
Canada,1965,3.18,17700,71.8,19600000
Cape Verde,1965,6.99,1750,56.4,230000
Central African Republic,1965,5.94,1450,43.4,1640000
Chad,1965,6.34,1180,46.6,3310000
Chile,1965,4.75,6290,60.3,8990000
China,1965,6.02,774,55.5,724000000
Colombia,1965,6.57,4270,63.8,18700000
Comoros,1965,7.0,1320,48.1,207000
"Congo, Dem. Rep.",1965,6.09,2030,48.2,17400000
"Congo, Rep.",1965,6.09,2420,47.1,1160000
Costa Rica,1965,5.85,4880,66.3,1590000
Cote d'Ivoire,1965,7.71,3820,46.3,4230000
Croatia,1965,2.18,9220,66.5,4330000
Cuba,1965,4.62,4500,68.9,7960000
Cyprus,1965,3.13,6040,69.9,581000
Czech Republic,1965,2.05,10400,70.0,9810000
Denmark,1965,2.61,19700,72.2,4760000
Djibouti,1965,6.63,3730,54.6,115000
Dominican Republic,1965,7.05,2910,62.1,3880000
Ecuador,1965,6.56,4760,61.2,5240000
Egypt,1965,6.58,3170,49.3,30400000
El Salvador,1965,6.55,4610,57.5,3200000
Equatorial Guinea,1965,5.73,2120,42.4,276000
Eritrea,1965,6.75,1080,40.6,1150000
Estonia,1965,1.97,7940,70.5,1290000
Eswatini,1965,6.8,2000,48.6,374000
Ethiopia,1965,6.86,711,39.0,25000000
Fiji,1965,5.48,3040,64.3,464000
Finland,1965,2.46,12500,69.0,4570000
France,1965,2.77,15100,71.3,48700000
Gabon,1965,5.08,10300,47.5,533000
Gambia,1965,5.83,1570,47.5,405000
Georgia,1965,2.88,5050,63.2,4370000
Germany,1965,2.48,18500,70.8,76300000
Ghana,1965,6.92,2240,53.6,7740000
Greece,1965,2.41,8780,72.5,8450000
Grenada,1965,5.6,2090,64.1,94600
Guatemala,1965,6.74,3760,46.3,4870000
Guinea,1965,6.16,1030,43.5,3800000
Guinea-Bissau,1965,5.97,1290,39.3,650000
Guyana,1965,5.96,3150,61.1,652000
Haiti,1965,6.18,2180,43.9,4260000
Honduras,1965,7.44,2690,55.1,2350000
Hungary,1965,1.85,10900,69.0,10200000
Iceland,1965,3.6,13300,73.8,192000
India,1965,5.83,1040,45.7,499000000
Indonesia,1965,5.61,1740,44.8,100000000
Iran,1965,6.83,20700,51.9,25000000
Iraq,1965,7.04,21700,55.8,8380000
Ireland,1965,3.95,10100,70.9,2820000
Israel,1965,3.81,9440,70.0,2490000
Italy,1965,2.53,14100,70.3,51700000
Jamaica,1965,5.82,5960,67.7,1760000
Japan,1965,2.02,9390,70.9,98400000
Jordan,1965,8.06,6340,57.7,1170000
Kazakhstan,1965,4.05,10000,62.3,11800000
Kenya,1965,8.12,1680,54.9,9530000
Kiribati,1965,6.5,3330,52.6,46400
Kuwait,1965,7.41,37700,66.2,472000
Kyrgyz Republic,1965,5.42,3680,57.9,2570000
Lao,1965,5.97,941,40.6,2380000
Latvia,1965,1.84,7800,71.4,2270000
Lebanon,1965,5.5,13000,66.2,2090000
Lesotho,1965,5.8,662,54.6,922000
Liberia,1965,6.52,1160,43.1,1250000
Libya,1965,7.65,18600,58.0,1730000
Lithuania,1965,2.35,9840,71.7,2970000
Luxembourg,1965,2.34,18500,70.1,330000
Madagascar,1965,7.31,2210,47.6,5770000
Malawi,1965,7.1,574,41.4,4130000
Malaysia,1965,5.92,3410,62.0,9530000
Maldives,1965,7.2,2340,36.9,103000
Mali,1965,7.05,770,35.8,5570000
Malta,1965,2.59,2650,68.9,322000
Mauritania,1965,6.8,2160,51.0,986000
Mauritius,1965,5.51,3580,60.8,753000
Mexico,1965,6.76,7030,60.0,44100000
"Micronesia, Fed. Sts.",1965,6.89,1570,58.1,52200
Moldova,1965,2.89,4500,62.3,3340000
Mongolia,1965,7.59,2820,50.7,1110000
Montenegro,1965,3.15,9510,68.9,534000
Morocco,1965,7.03,2250,52.6,14200000
Mozambique,1965,6.87,421,44.3,8040000
Myanmar,1965,6.14,701,42.4,24300000
Namibia,1965,6.24,7060,55.2,717000
Nepal,1965,5.97,976,46.9,11000000
Netherlands,1965,3.04,17700,73.7,12200000
New Zealand,1965,3.05,18100,71.2,2630000
Nicaragua,1965,7.01,6190,53.3,2070000
Niger,1965,7.53,1460,42.3,3910000
Nigeria,1965,6.34,2520,53.1,50100000
North Korea,1965,4.06,947,61.0,12500000
North Macedonia,1965,3.55,5400,65.9,1590000
Norway,1965,2.93,25200,73.5,3720000
Oman,1965,7.27,5840,45.8,625000
Pakistan,1965,6.6,1500,53.0,50900000
Palestine,1965,8.06,1490,58.0,1190000
Panama,1965,5.64,4430,66.5,1310000
Papua New Guinea,1965,6.26,1500,47.6,2490000
Paraguay,1965,6.36,3000,68.3,2170000
Peru,1965,6.88,6090,45.3,11700000
Philippines,1965,6.78,3050,62.0,30900000
Poland,1965,2.48,7410,69.7,31400000
Portugal,1965,3.18,7000,66.3,8860000
Qatar,1965,6.99,55100,61.1,73600
Romania,1965,2.46,4440,68.0,19400000
Russia,1965,2.09,11500,69.4,127000000
Rwanda,1965,8.2,608,45.9,3240000
Samoa,1965,7.52,3540,63.0,127000
Sao Tome and Principe,1965,6.35,1940,55.5,64900
Saudi Arabia,1965,7.26,26200,58.5,4840000
Senegal,1965,7.19,2240,46.8,3680000
Serbia,1965,2.47,8240,66.1,7840000
Seychelles,1965,5.84,5610,64.5,46800
Sierra Leone,1965,6.34,1240,40.7,2510000
Singapore,1965,4.36,5220,68.0,1880000
Slovak Republic,1965,2.7,9190,70.3,4380000
Slovenia,1965,2.3,8970,68.2,1630000
Solomon Islands,1965,6.42,1220,52.0,137000
Somalia,1965,7.26,1030,46.5,3070000
South Africa,1965,5.92,8570,55.6,19400000
South Korea,1965,5.13,1970,57.7,28900000
South Sudan,1965,6.81,2420,45.4,3130000
Spain,1965,2.83,8840,70.6,32100000
Sri Lanka,1965,4.96,1940,60.7,11100000
St. Lucia,1965,6.69,3120,61.9,96100
St. Vincent and the Grenadines,1965,6.76,2880,62.7,86000
Sudan,1965,6.81,2300,50.6,8770000
Suriname,1965,6.3,6660,61.6,329000
Sweden,1965,2.41,18400,73.8,7750000
Switzerland,1965,2.53,33600,72.5,5810000
Syria,1965,7.56,2600,59.7,5370000
Tajikistan,1965,6.96,4350,56.4,2490000
Tanzania,1965,6.8,1380,50.1,11600000
Thailand,1965,6.13,1830,60.2,31800000
Timor-Leste,1965,6.31,889,41.5,520000
Togo,1965,6.79,1690,48.4,1710000
Tonga,1965,6.97,1630,65.8,74300
Trinidad and Tobago,1965,4.43,8350,65.7,912000
Tunisia,1965,7.01,2770,51.8,4550000
Turkey,1965,6.01,4370,52.2,31000000
Turkmenistan,1965,6.76,7820,56.1,1890000
Uganda,1965,7.09,1180,46.8,7990000
Ukraine,1965,2.03,7650,70.3,45300000
United Arab Emirates,1965,6.84,8280,59.3,150000
United Kingdom,1965,2.76,15300,71.6,54200000
United States,1965,2.93,21400,70.5,200000000
Uruguay,1965,2.84,7330,68.7,2690000
Uzbekistan,1965,6.52,3760,62.4,10100000
Vanuatu,1965,6.73,1570,54.1,74300
Venezuela,1965,6.37,16100,63.6,9690000
Vietnam,1965,6.48,1280,56.8,37900000
Yemen,1965,7.71,1570,37.6,5730000
Zambia,1965,7.29,3430,51.4,3570000
Zimbabwe,1965,7.37,1690,55.1,4470000
Afghanistan,1966,7.45,2600,43.7,10200000
Albania,1966,5.58,3100,66.1,1950000
Algeria,1966,7.68,6210,56.0,12900000
Angola,1966,7.62,5190,44.1,5780000
Antigua and Barbuda,1966,4.13,5400,65.8,59900
Argentina,1966,3.05,11100,64.8,22500000
Armenia,1966,3.79,3650,64.0,2280000
Australia,1966,2.92,18300,71.0,11600000
Austria,1966,2.66,14300,70.5,7350000
Azerbaijan,1966,5.66,6710,61.0,4720000
Bahamas,1966,3.89,23900,64.3,146000
Bahrain,1966,7.1,27500,61.3,192000
Bangladesh,1966,6.9,1260,46.2,57200000
Barbados,1966,3.81,5890,67.7,236000
Belarus,1966,2.37,4860,72.5,8590000
Belgium,1966,2.5,14600,70.7,9490000
Belize,1966,6.38,2800,64.5,109000
Benin,1966,6.59,1260,44.4,2680000
Bhutan,1966,6.67,1050,45.3,262000
Bolivia,1966,6.59,3180,48.3,4120000
Bosnia and Herzegovina,1966,3.31,2720,65.5,3590000
Botswana,1966,6.7,1060,53.7,572000
Brazil,1966,5.66,4870,58.9,85700000
Brunei,1966,5.92,85100,61.4,107000
Bulgaria,1966,2.15,7110,71.2,8280000
Burkina Faso,1966,6.49,711,42.3,5260000
Burundi,1966,7.22,646,44.5,3170000
Cambodia,1966,6.81,685,45.5,6590000
Cameroon,1966,6.0,2040,48.7,5910000
Canada,1966,2.96,18500,71.9,20000000
Cape Verde,1966,6.99,1750,56.8,239000
Central African Republic,1966,5.95,1410,44.0,1670000
Chad,1966,6.36,1140,47.0,3370000
Chile,1966,4.63,6850,60.8,9150000
China,1966,6.21,829,56.7,742000000
Colombia,1966,6.43,4370,64.3,19300000
Comoros,1966,7.03,1450,48.6,211000
"Congo, Dem. Rep.",1966,6.11,2110,48.6,17900000
"Congo, Rep.",1966,6.14,2500,47.5,1190000
Costa Rica,1966,5.63,5090,66.8,1650000
Cote d'Ivoire,1966,7.77,3940,47.1,4380000
Croatia,1966,2.14,9820,66.9,4350000
Cuba,1966,4.54,4640,69.6,8120000
Cyprus,1966,3.01,6410,70.2,585000
Czech Republic,1966,2.01,10700,70.3,9820000
Denmark,1966,2.62,20100,72.3,4800000
Djibouti,1966,6.67,3750,55.3,123000
Dominican Republic,1966,6.9,3190,62.9,4000000
Ecuador,1966,6.51,4750,61.7,5400000
Egypt,1966,6.53,3100,49.7,31200000
El Salvador,1966,6.49,4760,58.0,3290000
Equatorial Guinea,1966,5.76,2190,42.8,284000
Eritrea,1966,6.73,1120,41.0,1180000
Estonia,1966,1.99,8240,70.4,1300000
Eswatini,1966,6.82,2030,49.0,384000
Ethiopia,1966,6.87,720,40.0,25600000
Fiji,1966,5.28,2980,64.8,476000
Finland,1966,2.41,12800,69.5,4580000
France,1966,2.73,15700,71.7,49200000
Gabon,1966,5.11,9970,48.4,543000
Gambia,1966,5.88,1760,48.5,415000
Georgia,1966,2.85,5380,63.5,4450000
Germany,1966,2.44,18900,70.9,76800000
Ghana,1966,6.94,2190,54.0,7940000
Greece,1966,2.46,9270,72.8,8490000
Grenada,1966,5.3,2140,64.5,94900
Guatemala,1966,6.72,3890,46.9,5010000
Guinea,1966,6.17,1040,43.8,3870000
Guinea-Bissau,1966,5.98,1360,39.5,659000
Guyana,1966,5.86,3240,61.3,665000
Haiti,1966,6.11,2120,44.4,4340000
Honduras,1966,7.44,2740,55.8,2410000
Hungary,1966,1.88,11500,69.8,10200000
Iceland,1966,3.46,14300,73.2,195000
India,1966,5.79,1030,46.5,510000000
Indonesia,1966,5.6,1710,45.2,103000000
Iran,1966,6.77,22300,52.5,25600000
Iraq,1966,7.19,21900,56.9,8650000
Ireland,1966,3.9,10100,70.4,2830000
Israel,1966,3.8,9330,70.3,2560000
Italy,1966,2.53,14800,71.0,52100000
Jamaica,1966,5.82,6080,68.1,1780000
Japan,1966,2.03,10300,71.7,99600000
Jordan,1966,8.05,6200,58.5,1270000
Kazakhstan,1966,3.91,10400,62.8,12100000
Kenya,1966,8.13,1840,55.6,9850000
Kiribati,1966,6.33,3440,53.1,47400
Kuwait,1966,7.42,42100,66.8,523000
Kyrgyz Republic,1966,5.35,3750,58.4,2650000
Lao,1966,5.97,950,40.8,2440000
Latvia,1966,1.84,8170,71.4,2290000
Lebanon,1966,5.4,13500,66.5,2140000
Lesotho,1966,5.8,646,54.8,942000
Liberia,1966,6.55,1340,43.8,1270000
Libya,1966,7.78,21100,59.6,1800000
Lithuania,1966,2.33,10200,71.9,3000000
Luxembourg,1966,2.29,19000,70.0,332000
Madagascar,1966,7.31,2210,48.2,5920000
Malawi,1966,7.14,616,41.7,4240000
Malaysia,1966,5.73,3500,62.5,9790000
Maldives,1966,7.22,2400,37.7,105000
Mali,1966,7.07,793,36.5,5640000
Malta,1966,2.4,2970,69.1,323000
Mauritania,1966,6.8,2160,51.6,1020000
Mauritius,1966,5.19,3360,61.0,770000
Mexico,1966,6.77,7330,60.4,45500000
"Micronesia, Fed. Sts.",1966,6.9,1600,58.5,54200
Moldova,1966,2.8,4700,62.6,3390000
Mongolia,1966,7.6,2890,51.3,1140000
Montenegro,1966,3.05,9920,69.5,534000
Morocco,1966,6.97,2310,53.1,14600000
Mozambique,1966,6.86,427,44.9,8230000
Myanmar,1966,6.13,654,43.3,24800000
Namibia,1966,6.26,7170,55.8,735000
Nepal,1966,5.96,1020,47.4,11200000
Netherlands,1966,2.9,18000,73.7,12400000
New Zealand,1966,3.13,19000,71.1,2670000
Nicaragua,1966,6.98,6170,54.1,2130000
Niger,1966,7.54,1410,42.4,4030000
Nigeria,1966,6.34,2380,53.8,51200000
North Korea,1966,4.16,1030,62.3,12900000
North Macedonia,1966,3.5,5800,66.5,1620000
Norway,1966,2.89,25700,73.8,3750000
Oman,1966,7.28,5980,46.5,642000
Pakistan,1966,6.6,1580,53.7,52300000
Palestine,1966,8.05,1600,58.9,1180000
Panama,1966,5.56,4630,67.0,1350000
Papua New Guinea,1966,6.24,1570,48.6,2540000
Paraguay,1966,6.28,3000,68.5,2230000
Peru,1966,6.82,6430,45.8,12000000
Philippines,1966,6.69,3080,62.3,31900000
Poland,1966,2.41,7820,70.1,31600000
Portugal,1966,3.16,7320,65.8,8810000
Qatar,1966,6.99,69300,61.8,79800
Romania,1966,2.59,4910,68.0,19600000
Russia,1966,2.1,12200,69.5,127000000
Rwanda,1966,8.2,633,46.1,3320000
Samoa,1966,7.46,3580,63.8,131000
Sao Tome and Principe,1966,6.37,2040,56.1,66200
Saudi Arabia,1966,7.26,29200,59.4,5020000
Senegal,1966,7.22,2260,46.9,3790000
Serbia,1966,2.45,8890,66.6,7890000
Seychelles,1966,5.89,5620,64.8,47900
Sierra Leone,1966,6.37,1290,41.3,2550000
Singapore,1966,4.07,5680,68.2,1920000
Slovak Republic,1966,2.64,9530,70.4,4420000
Slovenia,1966,2.29,9430,68.2,1640000
Solomon Islands,1966,6.47,1240,52.5,141000
Somalia,1966,7.26,1160,47.0,3140000
South Africa,1966,5.86,8730,56.1,19900000
South Korea,1966,4.94,2150,58.5,29600000
South Sudan,1966,6.83,2340,46.1,3200000
Spain,1966,2.84,9410,70.8,32500000
Sri Lanka,1966,4.85,1880,61.2,11400000
St. Lucia,1966,6.61,3200,62.4,97700
St. Vincent and the Grenadines,1966,6.63,2840,63.3,86900
Sudan,1966,6.83,2210,51.0,9050000
Suriname,1966,6.18,6800,61.9,338000
Sweden,1966,2.36,18600,74.1,7810000
Switzerland,1966,2.47,34100,72.7,5900000
Syria,1966,7.57,2320,60.4,5550000
Tajikistan,1966,7.0,4510,56.8,2570000
Tanzania,1966,6.8,1510,50.5,12000000
Thailand,1966,6.08,1980,60.6,32800000
Timor-Leste,1966,6.27,924,42.3,529000
Togo,1966,6.85,1780,49.1,1770000
Tonga,1966,6.8,1650,66.2,76800
Trinidad and Tobago,1966,4.2,8600,65.9,919000
Tunisia,1966,6.98,2770,53.0,4640000
Turkey,1966,5.93,4810,53.0,31700000
Turkmenistan,1966,6.7,8120,56.5,1950000
Uganda,1966,7.11,1210,47.3,8260000
Ukraine,1966,2.02,7940,70.5,45700000
United Arab Emirates,1966,6.82,14100,60.3,160000
United Kingdom,1966,2.7,15600,71.5,54600000
United States,1966,2.71,22500,70.5,202000000
Uruguay,1966,2.83,7520,68.7,2720000
Uzbekistan,1966,6.5,3900,62.9,10500000
Vanuatu,1966,6.63,1590,54.8,76400
Venezuela,1966,6.2,15900,64.2,10000000
Vietnam,1966,6.49,1260,56.9,39000000
Yemen,1966,7.74,1580,38.5,5820000
Zambia,1966,7.3,3150,51.9,3680000
Zimbabwe,1966,7.39,1680,55.5,4620000
